system_abv,system_name, website,num1,num2,num3,num4
7OT,SevenOT,http://sevenovertimes.com,944,732,275,426
AP,AssociatedPress,https://www.ncaa.com/rankings/basketball-men/d1/associated-press,907,907,500,500
ARG,ARGH,http://www.arghratings.com/,986,919,256,476
ATP,AikeTouPred,https://tourneypredictor.com,949,725,278,482
BAR,Baron,http://www.nothingbutnumbers.com/2022/11/28/2022-23-mens-college-basketball-rankings/,990,915,260,455
BIH,Bihl,http://jeffbihl.com/bwin.html,988,903,252,508
BNZ,Benz,https://lbenz730.shinyapps.io/recspecs_basketball_central/,990,896,259,419
BWE,BWilsonEmpirical,http://waywardtrends.com/bryan/BWE/ncaabRankings.php,996,958,254,477
COL,Colley,http://www.colleyrankings.com,980,789,251,507
DAV,Davis,http://kurcc.com/dppi_ranking/DPPI-Upload.htm,990,858,258,467
DCI,DanielCurryIndex,http://dcindex-choop.blogspot.com/search/label/DCI%20Rank,973,806,263,418
DES,DeSimone,http://www.mikedesimone.com/top25b.htm,860,860,464,464
DII,DonchessInference,http://www.dratings.com/,990,957,258,474
DOK,DokterEntropy,http://dokterentropy.com/colbb.html,989,932,264,434
DOL,Dolphin,http://www.dolphinsim.com/ratings/ncaa_mbb/,987,890,250,477
DUN,Dunkel,http://www.dunkelindex.com/,980,891,258,500
EBP,ESPNBPI,http://espn.go.com/mens-college-basketball/bpi,985,847,265,402
EMK,EvanMiya,https://evanmiya.com/,985,858,265,434
ESR,ESPNSOR,http://www.espn.com/mens-college-basketball/bpi/_/view/resume,886,858,401,444
FAS,FordAMSTS,http://www.allmysportsteamssuck.com/ncaa-college-basketball-rankings/,995,974,253,513
HAS,Haslametrics,http://haslametrics.com/,987,872,261,441
INC,INCCStats,http://www.inccstats.com/basketball/2022-23/rankings.html,992,916,258,419
JJK,JellyJuke,http://www.jellyjuke.com/,979,860,252,536
JNG,JobyNittyGritty,http://hoopshd.com/nitty-gritty-rankings/,973,814,256,455
KCX,KyleCox,http://kyle-cox.com/,990,882,260,446
KLK,Kislanko,http://basketball.kislanko.com,994,919,253,406
KPK,Kirkpatrick,http://talismanred.com/ratings/ckhoops/,990,960,257,488
KRA,Krach,http://sports.vaporia.com/collegebasketballkrach.html,988,889,248,535
LMC,LRMC,https://www2.isye.gatech.edu/~jsokol/lrmc/,975,864,267,330
LOG,Logan,http://loganssportsratings.blogspot.com/,988,890,262,404
MAS,Massey,http://www.masseyratings.com/cb/ncaa-d1/ratings,990,962,255,506
MB,MasseyBCS,http://www.masseyratings.com/rate.php?lg=cb&sub=NCAA%20I&mid=6,989,880,251,479
MMG,MarkMoog,http://www.markmoog.com,989,798,263,418
MOR,Moore,http://sonnymoorepowerratings.com,978,798,261,410
NET,NCAANET,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,995,924,255,443
NOL,NolanELO,http://www.warrennolan.com/,963,783,258,500
OMN,OmniRankings,http://omnirankings.com/mcb/Macro/Team%20Ratings.htm,988,924,260,449
PGH,Pugh,http://www.compughterratings.com/CBB/rankings,984,839,250,522
PIR,PiRate,http://piratings.wordpress.com/,993,886,260,417
POM,Pomeroy,https://www.kenpom.com,993,900,258,386
RME,Rhamey,https://patrickrhamey.com/saturday-research,957,720,267,395
RMS,RAMSRating,https://ramsrating.com/,988,933,250,547
RT,RoundTable,http://www.rtsratings.com,978,814,271,468
RTH,Rothman,http://prwolfe.bol.ucla.edu/cbasketball/rothman.txt,992,950,252,512
RTP,RTPower,http://realtimerpi.com/ncaab/college_Men_basketball_power_rankings_Full.html,959,762,258,545
SAG,Sagarin,https://sagarin.usatoday.com/,986,948,261,489
SFX,StatFox,http://www.statfox.com/cbb/power/,970,858,259,382
SMS,Simmons,http://simmonsratings.com/,995,930,252,442
SPR,SportsRatings,http://www.sports-ratings.com/basketball/,991,802,255,494
SRS,SimpleRatingSystem,https://www.sports-reference.com/cbb/seasons/2023-ratings.html,986,887,264,446
STH,SportTheory,http://www.kindoflost.com/college-basketball-ranking/,992,936,255,408
STY,Splunty,https://misteroosh.wixsite.com/splunty,991,869,253,453
TPR,ThePowerRank,http://thepowerrank.com/college-basketball/,987,888,262,447
TRK,T-Rank,http://barttorvik.com/,989,862,262,480
TRP,TeamRankingsPred,http://www.teamrankings.com/ncaa-basketball/ranking/predictive-by-other,989,913,264,494
USA,USATodayCoaches,http://sportspolls.usatoday.com/ncaa/basketball-men/polls/coaches-poll/,893,893,468,468
WIL,Wilson,http://talismanred.com/ratings/hoops/,985,847,245,458
WLK,Whitlock,http://whitlockrankings.com/bbrank1.htm,996,961,255,408
WMV,WobusMOV,http://sports.vaporia.com/collegebasketballwmv.html,997,955,254,487
WOB,Wobus,http://sports.vaporia.com/collegebasketballrankings.html,984,850,249,484
WOL,Wolfe,http://prwolfe.bol.ucla.edu/cbasketball/ratings.htm,975,796,252,525