team_id,school,mascot,city,state,first,last,years,games,wins,losses,win_pct,srs,sos,polls_ap,champ_seas,champ_conf,appear_ncaa,appear_four,champ_ncaa
1,Abilene Christian,Wildcats,Abilene,TX,1971,2023,13,388,210,178,0.541,-7.97,-5.88,0,0,2,2,0,0
2,Air Force,Falcons,USAF Academy,CO,1958,2023,66,1811,785,1026,0.433,-2.75,1.34,0,1,0,4,0,0
3,Akron,Zips,Akron,OH,1902,2023,72,1681,1002,679,0.596,-0.05,-1.53,0,9,5,5,0,0
4,Alabama A&M,Bulldogs,Normal,AL,2000,2023,24,686,264,422,0.385,-16.68,-11.18,0,1,1,1,0,0
5,Alabama,Crimson Tide,Tuscaloosa,AL,1913,2023,110,2853,1764,1088,0.619,7.77,4.84,16,12,8,23,0,0
6,Alabama State,Hornets,Montgomery,AL,1983,2023,41,1208,561,647,0.464,-13.28,-9.97,0,4,4,4,0,0
7,Albany (NY),Great Danes,Albany,NY,2000,2023,24,736,354,382,0.481,-7.09,-5.96,0,2,5,5,0,0
8,Alcorn State,Braves,Alcorn State,MS,1978,2023,46,1358,593,765,0.437,-13.47,-8.73,0,11,6,6,0,0
9,Allegheny,Gators,Meadville,PA,1896,1916,21,234,191,41,0.823,,,0,0,0,,,
10,American,Eagles,Washington,DC,1967,2023,57,1606,786,820,0.489,-5.77,-3.89,0,7,3,3,0,0
11,Amherst Lord,Jeffs,Amherst,MA,1901,1902,2,12,12,0,1,,,0,0,0,,,
12,Appalachian State,Mountaineers,Boone,NC,1974,2023,50,1480,727,753,0.491,-5.72,-3.26,0,10,3,3,0,0
13,Arizona State,Sun Devils,Tempe,AZ,1912,2023,108,2663,1414,1249,0.531,5.11,4.14,7,8,0,16,0,0
14,Arizona,Wildcats,Tucson,AZ,1905,2023,116,2848,1883,964,0.661,9.33,5.15,28,25,8,36,4,1
15,Arkansas,Razorbacks,Fayetteville,AR,1924,2023,100,2775,1780,995,0.641,7.94,3.33,18,26,7,34,6,1
16,Arkansas State Red,Wolves,State University,AR,1971,2023,53,1538,785,753,0.51,-3.73,-3,0,7,1,1,0,0
17,Arkansas-Pine Bluff,Golden Lions,Pine Bluff,AR,1999,2023,25,754,220,534,0.292,-19.37,-8.2,0,0,1,1,0,0
18,Armstrong,Pirates,Savannah,GA,1987,1987,1,28,6,22,0.214,-21.6,-4.78,0,0,0,0,0,0
19,Army,Black Knights,West Point,NY,1903,2023,121,2601,1294,1307,0.498,-9.08,-4.68,0,0,0,0,0,0
20,Auburn,Tigers,Auburn,AL,1906,2023,117,2691,1450,1240,0.539,5.93,4.37,9,5,2,11,1,0
21,Augusta State,Jaguars,Augusta,GA,1985,1991,7,197,64,133,0.325,-17.3,-7.99,0,0,0,0,0,0
22,Augustana (IL),Vikings,Rock Island,IL,1902,1917,12,116,81,35,0.698,,,0,0,0,,,
23,Austin Peay,Governors,Clarksville,TN,1964,2023,60,1727,859,868,0.497,-5.67,-3.45,1,8,5,7,0,0
24,Baker University,Wildcats,Baldwin City,KS,1903,1908,6,90,62,28,0.689,,,0,0,0,,,
25,Baldwin-Wallace,Yellow Jackets,Berea,OH,1948,1953,6,139,82,57,0.59,-4.46,1.83,0,0,0,0,0,0
26,Ball State,Cardinals,Muncie,IN,1972,2023,52,1528,812,716,0.531,-0.98,-0.82,1,12,7,7,0,0
27,Baltimore,Super Bees,Baltimore,MD,1979,1983,5,133,46,87,0.346,-13.75,-6.44,0,0,0,0,0,0
28,Baylor,Bears,Waco,TX,1907,2023,117,2849,1454,1395,0.51,2.45,2.85,9,7,0,14,3,1
29,Bellarmine,Knights,Louisville,KY,2021,2023,3,88,49,39,0.557,-4.24,-2.66,0,0,1,0,0,0
30,Belmont,Bruins,Nashville,TN,2000,2023,24,763,513,250,0.672,1.58,-3.55,0,14,8,8,0,0
31,Beloit,Buccaneers,Beloit,WA,1911,1924,8,95,66,28,0.702,,,0,0,0,,,
32,Bethune-Cookman,Wildcats,Daytona Beach,FL,1981,2023,42,1247,455,792,0.365,-16.59,-9.82,0,2,0,0,0,0
33,Binghamton,Bearcats,Binghamton,NY,2002,2023,22,651,234,417,0.359,-11.17,-5.53,0,1,1,1,0,0
34,Birmingham-Southern,Panthers,Birmingham,AL,1920,2006,5,105,65,40,0.619,-5.44,-8.72,0,1,0,0,0,0
35,Bloomsburg,Huskies,Bloomsburg,PA,1896,1911,15,143,88,55,0.615,,,0,0,0,,,
36,Boise State,Broncos,Boise,ID,1972,2023,52,1539,872,667,0.567,0.92,-0.3,1,7,6,8,0,0
37,Boston College,Eagles,Chestnut Hill,MA,1946,2023,78,2198,1188,1010,0.54,3.11,3.31,8,6,2,18,0,0
38,Boston University,Terriers,Boston,MA,1916,2023,97,2250,1157,1093,0.514,-6.69,-5.41,0,8,7,7,0,0
39,Bowling Green State,Falcons,Bowling Green,OH,1916,2023,108,2691,1446,1245,0.537,-0.64,-0.05,2,9,0,4,0,0
40,Bradley,Braves,Peoria,IL,1903,2023,119,2997,1746,1251,0.583,4.72,2.88,12,8,4,9,2,0
41,Brigham Young College,Empty,Logan,UT,1908,1908,1,11,10,1,0.909,,,0,0,0,,,
42,Brigham Young,Cougars,Provo,UT,1903,2023,121,3051,1916,1135,0.628,7.87,3.69,12,25,3,30,0,0
43,Brooklyn,Bulldogs,Brooklyn,NY,1934,1992,25,567,233,334,0.411,-19.22,-9.63,0,0,0,0,0,0
44,Brown,Bears,Providence,RI,1901,2023,117,2657,1087,1570,0.409,-10.63,-4.5,0,1,0,2,0,0
45,Bryant,Bulldogs,Smithfield,RI,2011,2023,13,394,166,228,0.421,-9.39,-5.61,0,1,1,1,0,0
46,Bucknell,Bison,Lewisburg,PA,1896,2023,128,2788,1489,1299,0.534,-8.33,-6.81,0,18,8,8,0,0
47,Buffalo,Bulls,Buffalo,NY,1907,2023,54,1323,683,640,0.516,-4.35,-2.24,1,5,4,4,0,0
48,Butler,Bulldogs,Indianapolis,IN,1897,2023,125,2862,1657,1205,0.579,2.01,3.39,8,13,7,16,2,0
49,Cal Poly,Mustangs,San Luis Obispo,CA,1995,2023,29,848,321,527,0.379,-7.19,-1.75,0,1,1,1,0,0
50,Cal State Bakersfield,Roadrunners,Bakersfield,CA,2011,2023,13,402,191,211,0.475,-4.96,-2.84,0,1,1,1,0,0
51,Cal State Fullerton,Titans,Fullerton,CA,1975,2023,49,1422,680,742,0.478,-1.9,-0.39,0,2,4,4,0,0
52,Cal State Los Angeles,Golden Eagles,Los Angeles,CA,1971,1975,5,130,70,60,0.538,-1.89,1.34,0,0,0,1,0,0
53,Cal State Northridge,Matadors,Northridge,CA,1991,2023,33,980,407,573,0.415,-5.81,-1.82,0,3,2,2,0,0
54,California Baptist,Lancers,Riverside,CA,2019,2023,5,150,84,66,0.56,-2.81,-3.94,0,0,0,0,0,0
55,California Golden,Bears,Berkeley,CA,1908,2023,114,2927,1659,1268,0.567,6.89,6.17,5,14,0,19,3,1
56,Campbell Fighting,Camels,Buies Creek,NC,1978,2023,46,1333,567,766,0.425,-12.13,-7.05,0,2,1,1,0,0
57,Canisius,Golden Griffins,Buffalo,NY,1904,2023,119,2680,1347,1333,0.503,-3.86,-1.8,1,8,1,4,0,0
58,Canterbury,College,Danville,IN,1931,1931,1,19,19,0,1,,,0,0,0,,,
59,Carleton College,Knights,Northfield,MN,1910,1934,25,360,280,80,0.778,,,0,0,0,,,
60,Carnegie Mellon,Tartans,Pittsburgh,PA,1933,1939,7,87,40,47,0.46,,,0,2,0,0,0,0
61,Case Western Reserve,Spartans,Cleveland,OH,1898,1955,13,245,95,150,0.388,-18.31,-2.69,0,0,0,0,0,0
62,Catholic,Cardinals,Washington,DC,1913,1981,13,248,122,126,0.492,-15.98,-6.69,0,0,0,1,0,0
63,Centenary (LA),Gents,Shreveport,LA,1960,2011,52,1435,637,798,0.444,-8.73,-3.97,1,1,1,0,0,0
64,Central Arkansas,Bears,Conway,AR,2011,2023,13,391,118,273,0.302,-14.25,-4.5,0,0,0,0,0,0
65,Central Connecticut State,Blue Devils,New Britain,CT,1987,2023,37,1077,418,659,0.388,-12.95,-7.64,0,3,3,3,0,0
66,Central Florida,Knights,Orlando,FL,1985,2023,39,1161,588,573,0.506,-3.11,-1.95,0,1,4,5,0,0
67,Central Michigan,Chippewas,Mount Pleasant,MI,1974,2023,50,1441,626,815,0.434,-4.32,-0.53,0,8,2,4,0,0
68,Central Missouri,Mules,Warrensburg,MO,1913,1937,10,178,140,38,0.787,,,0,0,0,,,
69,Central Pennsylvania College,Knights,Summerdale,PA,1896,1900,4,6,2,4,0.333,,,0,0,0,,,
70,Centre (KY),Colonels,Danville,KY,1910,1919,3,45,41,4,0.911,,,0,0,0,,,
71,Charleston Southern,Buccaneers,Charleston,SC,1975,2023,49,1406,569,837,0.405,-13.29,-7.06,0,4,4,1,0,0
72,Charlotte,49ers,Charlotte,NC,1973,2023,51,1515,827,688,0.546,3.16,1.88,2,6,5,11,1,0
73,Chattanooga,Mocs,Chattanooga,TN,1978,2023,46,1419,857,562,0.604,-2.27,-3.53,1,20,12,12,0,0
74,Cheyenne Business,College,Cheyenne,WY,1903,1903,1,1,1,0,1,,,0,0,0,,,
75,Chicago,Maroons,Chicago,IL,1896,1946,46,862,419,443,0.486,,,0,6,0,0,0,0
76,Chicago State,Cougars,Chicago,IL,1985,2023,39,1124,291,833,0.259,-15.69,-2.16,0,0,1,0,0,0
77,Cincinnati,Bearcats,Cincinnati,OH,1902,2023,122,2947,1884,1063,0.639,11.53,5.06,25,25,12,33,6,2
78,City College of New York,Beavers,New York,NY,1906,1953,48,725,517,208,0.713,-0.07,2.71,0,1,0,2,2,1
79,Clemson,Tigers,Clemson,SC,1912,2023,112,2755,1402,1351,0.509,5.64,4.32,6,1,1,13,0,0
80,Cleveland State,Vikings,Cleveland,OH,1973,2023,51,1501,752,749,0.501,-3.45,-1.79,0,6,3,3,0,0
81,Coastal Carolina,Chanticleers,Conway,SC,1987,2023,37,1114,568,546,0.51,-7.76,-6.04,0,7,5,4,0,0
82,Colgate,Raiders,Hamilton,NY,1901,2023,123,2800,1367,1433,0.488,-10.29,-5.66,0,8,5,5,0,0
83,College of Charleston,Cougars,Charleston,SC,1992,2023,32,990,680,310,0.687,1.14,-4.04,2,14,4,5,0,0
84,College of New Jersey,Lions,Ewing,NJ,1900,1900,1,5,3,2,0.6,,,0,0,0,,,
85,Colorado,Buffaloes,Boulder,CO,1902,2023,120,2657,1399,1258,0.527,5.45,6.03,6,19,1,15,2,0
86,Colorado College,Tigers,Colorado Springs,CO,1915,1937,23,376,233,143,0.62,,,0,7,0,,,
87,Colorado School of Mines,Orediggers,Golden,CO,1908,1937,28,282,80,202,0.284,,,0,2,0,,,
88,Colorado State,Rams,Fort Collins,CO,1902,2023,119,2660,1345,1315,0.506,2.96,2.45,1,6,1,11,0,0
89,Columbia,Lions,New York,NY,1901,2023,123,2703,1319,1384,0.488,-7.9,-5.11,2,13,0,3,0,0
90,Concordia Seminary,Preachers,St. Louis,MO,1907,1923,2,16,14,2,0.875,,,0,0,0,,,
91,Connecticut,Huskies,Storrs,CT,1901,2023,117,2730,1736,994,0.636,6.88,1.25,17,27,8,34,5,4
92,Coppin State,Eagles,Baltimore,MD,1986,2023,38,1148,515,633,0.449,-11.01,-7.95,0,11,4,4,0,0
93,Cornell,Big Red,Ithaca,NY,1899,2023,125,2783,1301,1482,0.467,-7.61,-4.46,0,8,0,5,0,0
94,Cotner,College,Lincoln,NE,1910,1911,2,27,24,3,0.889,,,0,0,0,,,
95,Creighton,Bluejays,Omaha,NE,1912,2023,103,2710,1651,1059,0.609,4.24,3.6,6,16,12,23,0,0
96,Cumberland,Empty,Lebanon,TN,1904,1904,1,4,4,0,1,,,0,0,0,,,
97,Dakota Wesleyan,Tigers,Mitchell,SD,1932,1932,1,20,19,1,0.95,,,0,0,0,,,
98,Dartmouth,Big Green,Hanover,NH,1900,2023,123,2914,1338,1574,0.459,-10.69,-5.06,0,12,0,7,2,0
99,Davidson,Wildcats,Davidson,NC,1909,2023,114,2795,1532,1263,0.548,-2.55,-2.74,6,25,13,15,0,0
100,Dayton,Flyers,Dayton,OH,1904,2023,118,2884,1732,1152,0.601,7.06,3.17,8,6,2,18,1,0
101,Delaware,Fightin' Blue Hens,Newark,DE,1906,2023,82,2004,999,1004,0.499,-8.27,-5.86,0,4,6,6,0,0
102,Delaware State,Hornets,Dover,DE,1974,2023,50,1436,547,889,0.381,-16.91,-10.01,0,3,1,1,0,0
103,Denison,Big Red,Granville,OH,1905,1944,24,362,269,93,0.743,,,0,0,0,0,0,0
104,Denver,Pioneers,Denver,CO,1904,2023,100,2190,976,1214,0.446,-4.22,-0.87,0,4,0,0,0,0
105,DePaul,Blue Demons,Chicago,IL,1924,2023,100,2604,1512,1092,0.581,6.09,5.99,12,2,0,22,2,0
106,DePauw,Tigers,Greencastle,IN,1916,1932,17,276,182,94,0.659,,,0,0,0,,,
107,Detroit Mercy,Titans,Detroit,MI,1910,2023,114,2765,1464,1301,0.529,-0.08,0.85,2,2,3,6,0,0
108,Dickinson College,Red Devils,Carlisle,PA,1926,1947,2,34,30,4,0.882,,,0,0,0,0,0,0
109,Drake,Bulldogs,Des Moines,IA,1907,2023,117,2857,1340,1517,0.469,1.27,2.84,5,9,1,5,1,0
110,Drexel,Dragons,Philadelphia,PA,1895,2023,53,1467,802,665,0.547,-3.4,-4.44,0,7,5,5,0,0
111,Duke,Blue Devils,Durham,NC,1906,2023,118,3188,2269,919,0.712,16.24,6.71,50,23,26,44,17,5
112,Duquesne,Dukes,Pittsburgh,PA,1914,2023,107,2635,1458,1177,0.553,2,1.99,7,2,1,5,1,0
113,East Carolina,Pirates,Greenville,NC,1967,2023,57,1623,713,910,0.439,-4.51,-0.98,0,0,2,2,0,0
114,East Central,Tigers,Ada,OK,1929,1931,3,74,66,8,0.892,,,0,0,0,,,
115,East Tennessee State,Buccaneers,Johnson City,TN,1959,2023,65,1865,1017,848,0.545,-3.99,-3.38,1,11,10,10,0,0
116,Eastern Illinois,Panthers,Charleston,IL,1982,2023,42,1236,552,684,0.447,-7.95,-4.43,0,0,3,2,0,0
117,Eastern Kentucky,Colonels,Richmond,KY,1948,2023,73,1979,977,1002,0.494,-4.69,-2.76,0,8,5,8,0,0
118,Eastern Michigan,Eagles,Ypsilanti,MI,1933,2023,51,1500,699,801,0.466,-3.52,-0.35,0,5,4,4,0,0
119,Eastern Washington,Eagles,Cheney,WA,1984,2023,40,1172,528,644,0.451,-5.7,-2.31,0,5,3,3,0,0
120,Elon,Phoenix,Elon,NC,2000,2023,24,734,306,428,0.417,-8.38,-3.52,0,2,0,0,0,0
121,Emporia State,Hornets,Emporia,KS,1934,1934,1,18,17,1,0.944,,,0,0,0,,,
122,Ensign,College,Salt Lake City,UT,1903,1903,1,16,15,1,0.938,,,0,0,0,,,
123,Evansville,Purple Aces,Evansville,IN,1925,2023,50,1424,736,688,0.517,0.52,0.96,0,6,4,5,0,0
124,Fairfield,Stags,Fairfield,CT,1965,2023,59,1695,817,878,0.482,-4.54,-3.05,0,3,3,3,0,0
125,Fairleigh Dickinson,Knights,Teaneck,NJ,1968,2023,56,1577,749,828,0.475,-10.15,-7.01,0,6,6,6,0,0
126,Florida A&M,Rattlers,Tallahassee,FL,1980,2023,44,1291,494,797,0.383,-15.68,-8.87,0,0,4,3,0,0
127,Florida Atlantic,Owls,Boca Raton,FL,1994,2023,30,892,357,535,0.4,-7.74,-3.21,0,2,1,1,0,0
128,Florida,Gators,Gainesville,FL,1921,2023,102,2669,1502,1166,0.563,8.11,5.1,15,9,4,23,5,2
129,Florida Gulf Coast,Eagles,Fort Myers,FL,2011,2023,13,419,238,181,0.568,-3.12,-3.92,0,3,3,3,0,0
130,Florida International,Panthers,Miami,FL,1988,2023,36,1073,436,637,0.406,-7.94,-3.18,0,1,1,1,0,0
131,Florida State,Seminoles,Tallahassee,FL,1957,2023,67,1979,1172,807,0.592,7.56,5.07,12,3,2,18,1,0
132,Fordham,Rams,Bronx,NY,1903,2023,119,3012,1569,1443,0.521,-2.76,-0.23,1,4,3,4,0,0
133,Franklin,Grizzlies,Franklin,IN,1907,1925,18,221,144,77,0.652,,,0,0,0,,,
134,Fresno State,Bulldogs,Fresno,CA,1956,2023,56,1689,943,746,0.558,2.54,1.79,1,6,5,6,0,0
135,Furman,Paladins,Greenville,SC,1920,2023,102,2613,1330,1283,0.509,-5.67,-4.08,0,7,6,6,0,0
136,Gardner-Webb,Runnin' Bulldogs,Boiling Springs,NC,2003,2023,21,657,310,347,0.472,-7.4,-4.74,0,1,1,1,0,0
137,Geneva,Golden Tornadoes,Beaver Falls,PA,1893,1943,10,125,80,45,0.64,,,0,0,0,0,0,0
138,George Mason,Patriots,Fairfax,VA,1979,2023,45,1352,727,625,0.538,-1.03,-1.39,0,4,4,6,1,0
139,George Washington,Colonials,Washington,DC,1913,2023,106,2610,1394,1216,0.534,0.1,-0.1,3,7,5,11,0,0
140,Georgetown,Hoyas,Washington,DC,1907,2023,115,2845,1713,1132,0.602,6.67,4.08,20,11,8,31,5,1
141,Georgia,Bulldogs,Athens,GA,1906,2023,118,2857,1475,1382,0.516,3.88,4.99,5,3,3,12,1,0
142,Georgia Southern,Eagles,Statesboro,GA,1972,2023,52,1520,777,743,0.511,-6.6,-4.89,0,7,3,3,0,0
143,Georgia State,Panthers,Atlanta,GA,1974,2023,50,1461,656,805,0.449,-6.93,-3.72,0,8,6,6,0,0
144,Georgia Tech,Yellow Jackets,Atlanta,GA,1920,2023,104,2715,1426,1289,0.525,5.59,5.21,8,3,5,17,2,0
145,Gettysburg,Bullets,Gettysburg,PA,1901,1973,41,724,385,339,0.532,-15.94,-9.75,0,0,0,0,0,0
146,Gonzaga,Bulldogs,Spokane,WA,1944,2023,72,2133,1421,712,0.666,4.16,-0.01,15,28,20,24,2,0
147,Grambling,Tigers,Grambling,LA,1978,2023,46,1314,507,807,0.386,-16.92,-9.31,0,3,0,0,0,0
148,Grand Canyon,Antelopes,Phoenix,AZ,2014,2023,10,311,196,115,0.63,0.46,-3.41,0,1,1,1,0,0
149,Green Bay,Phoenix,Green Bay,WA,1982,2023,42,1279,672,607,0.525,-1.51,-1.38,0,4,4,5,0,0
150,Grinnell,Pioneers,Grinnell,IA,1901,1939,38,550,280,270,0.509,,,0,0,0,0,0,0
151,Grove City,Wolverines,Grove City,PA,1899,1925,27,383,257,126,0.671,,,0,0,0,,,
152,Hamline,Pipers,St. Paul,MN,1945,1948,4,102,82,20,0.804,,,0,0,0,0,0,0
153,Hampton,Pirates,Hampton,VA,1996,2023,28,861,434,427,0.504,-9.48,-8.58,0,4,6,6,0,0
154,Hardin-Simmons,Cowboys,Abilene,TX,1923,1990,45,1149,481,668,0.419,-11.07,-5.69,0,1,0,2,0,0
155,Hartford,Hawks,West Hartford,CT,1985,2023,39,1155,486,669,0.421,-9.24,-5.51,0,0,1,1,0,0
156,Harvard,Crimson,Boston,MA,1901,2023,112,2566,1201,1365,0.468,-8.01,-4.84,0,7,0,5,0,0
157,Haskell (KS),Fighting Indians,Lawrence,KS,1903,1908,2,39,27,12,0.692,,,0,0,0,,,
158,Hawaii,Rainbow Warriors,Honolulu,HI,1971,2023,53,1550,825,725,0.532,1.87,1.61,1,3,4,5,0,0
159,High Point,Panthers,High Point,NC,2000,2023,24,726,341,385,0.47,-9.23,-6.11,0,4,0,0,0,0
160,Hiram,Terriers,Hiram,OH,1894,1904,8,59,45,14,0.763,,,0,0,0,,,
161,Hofstra,Pride,Hempstead,NY,1943,2023,58,1683,884,799,0.525,-5.55,-4.3,0,10,6,4,0,0
162,Holy Cross,Crusaders,Worcester,MA,1901,2023,103,2517,1439,1078,0.572,-2.46,-3.89,6,6,7,13,2,1
163,Hope Flying,Dutchmen,Holland,MI,1908,1913,5,65,44,21,0.677,,,0,0,0,,,
164,Houston Christian,Huskies,Houston,TX,1974,2023,29,834,334,500,0.4,-11.98,-5.95,0,2,1,1,0,0
165,Houston,Cougars,Houston,TX,1951,2023,73,2170,1335,835,0.615,6.42,2.87,12,8,8,23,6,0
